InvoiceNo,StockCode,Quantity,InvoiceDate,UnitPrice,CustomerID
581125,22545,11,2011-12-07 12:41:00,0.19,14087.0
542151,48194,2,2011-01-26 10:30:00,7.95,13491.0
572035,22714,72,2011-10-20 12:03:00,0.36,14646.0
568703,22959,50,2011-09-28 15:21:00,0.42,12748.0
550515,22196,2,2011-04-18 17:29:00,0.85,14502.0
572561,22584,6,2011-10-25 08:51:00,2.55,13652.0
C540392,22244,-1,2011-01-06 18:06:00,1.95,12753.0
573888,84971S,24,2011-11-01 13:43:00,0.85,17696.0
536557,21670,6,2010-12-01 14:41:00,1.25,17841.0
561096,22440,20,2011-07-25 10:28:00,0.42,16099.0
537129,84358,1,2010-12-05 12:15:00,9.95,13506.0
555488,20727,2,2011-06-03 13:43:00,1.65,16942.0
541552,84406B,2,2011-01-19 11:15:00,3.25,15039.0
563690,22469,12,2011-08-18 12:53:00,1.65,15152.0
577861,23209,10,2011-11-22 11:28:00,1.65,13924.0
538917,90129A,3,2010-12-15 10:57:00,2.95,17449.0
571046,22197,12,2011-10-13 13:35:00,0.85,18096.0
552332,21242,8,2011-05-09 10:24:00,1.69,13908.0
567180,84971S,24,2011-09-18 14:56:00,0.85,17802.0
578032,23082,6,2011-11-22 13:41:00,3.75,16633.0
563909,23144,12,2011-08-21 12:36:00,0.83,15701.0
549569,22710,25,2011-04-10 15:15:00,0.42,15547.0
550006,22654,1,2011-04-14 10:10:00,5.95,17841.0
578088,23332,4,2011-11-22 16:47:00,1.65,16376.0
558644,84078A,18,2011-07-01 10:16:00,34.95,14156.0
C564751,22065,-4,2011-08-30 10:06:00,1.45,17828.0
552285,85123A,1,2011-05-08 12:58:00,2.95,14684.0
559876,85152,2,2011-07-13 11:09:00,2.1,15752.0
569332,POST,2,2011-10-03 13:46:00,18.0,12637.0
547063,22052,25,2011-03-20 13:33:00,0.42,14769.0
561363,22381,3,2011-07-26 15:42:00,2.1,17238.0
575954,22866,2,2011-11-13 12:03:00,2.1,17211.0
581381,23082,12,2011-12-08 12:54:00,3.75,16933.0
554494,22467,3,2011-05-24 14:00:00,2.55,16327.0
541844,47590B,1,2011-01-23 12:19:00,5.45,16931.0
545045,21755,4,2011-02-27 11:40:00,5.95,15708.0
542733,20992,1,2011-01-31 15:35:00,0.85,15058.0
558102,22659,2,2011-06-26 14:06:00,1.95,17372.0
544077,85186C,4,2011-02-15 15:04:00,0.42,14825.0
571682,23080,1,2011-10-18 14:00:00,8.25,14179.0
552804,84879,8,2011-05-11 12:32:00,1.69,15615.0
561874,84429A,1,2011-07-31 12:02:00,2.95,16255.0
537418,21790,2,2010-12-06 15:13:00,0.85,17884.0
540247,21584,3,2011-01-05 15:56:00,1.65,15464.0
572296,23238,1,2011-10-23 14:28:00,4.15,13598.0
574033,23452,6,2011-11-02 12:44:00,1.95,16558.0
575480,15056BL,3,2011-11-09 16:26:00,5.95,15594.0
543812,22960,1,2011-02-13 14:40:00,4.25,17472.0
547360,22842,2,2011-03-22 12:30:00,6.75,16135.0
559993,81953B,1,2011-07-14 12:42:00,0.19,14716.0
549754,22355,30,2011-04-12 11:32:00,0.85,13700.0
562210,22236,1,2011-08-03 13:10:00,12.75,13486.0
553405,23169,6,2011-05-17 08:37:00,4.15,14952.0
575609,21379,6,2011-11-10 12:40:00,1.25,17243.0
578933,21257,4,2011-11-27 12:47:00,7.95,16923.0
560368,23284,2,2011-07-18 12:25:00,7.95,17841.0
559984,22736,1,2011-07-14 11:45:00,1.65,16657.0
541919,22895,6,2011-01-24 11:35:00,2.95,14334.0
C539602,22893,-9,2010-12-20 14:02:00,0.42,13369.0
569846,22558,12,2011-10-06 13:42:00,1.65,13422.0
577695,23526,2,2011-11-21 11:55:00,5.95,15645.0
556473,22178,3,2011-06-12 12:00:00,1.25,17265.0
567099,21329,2,2011-09-16 13:31:00,1.65,15311.0
568951,84510A,10,2011-09-29 15:26:00,1.25,17724.0
545311,22189,4,2011-03-01 13:45:00,3.95,15660.0
567656,22845,1,2011-09-21 14:40:00,12.46,14096.0
577515,21810,48,2011-11-20 13:02:00,0.39,13427.0
560491,23256,1,2011-07-19 10:51:00,4.15,12415.0
580633,21742,1,2011-12-05 12:28:00,5.95,17579.0
581220,21411,8,2011-12-08 09:39:00,1.95,13924.0
559062,21373,24,2011-07-06 10:09:00,0.75,13253.0
576070,21619,4,2011-11-13 15:58:00,1.25,13451.0
554712,21844,12,2011-05-26 10:43:00,2.95,16873.0
563184,22384,2,2011-08-12 14:50:00,1.65,17516.0
569144,21088,5,2011-09-30 15:14:00,0.19,17227.0
572306,21231,4,2011-10-23 15:11:00,1.25,17841.0
565930,22955,6,2011-09-08 10:32:00,2.1,12685.0
568191,20982,24,2011-09-25 14:37:00,0.85,16655.0
563349,23200,5,2011-08-15 13:51:00,2.08,14623.0
537354,21724,2,2010-12-06 12:23:00,0.85,12748.0
544464,22562,2,2011-02-20 14:38:00,1.25,17323.0
561876,23091,3,2011-07-31 12:08:00,6.25,14472.0
539829,82613D,20,2010-12-22 12:47:00,0.42,12734.0
547839,22794,2,2011-03-27 10:54:00,7.95,12916.0
564060,22090,2,2011-08-22 14:37:00,2.95,17073.0
576687,23583,1,2011-11-16 12:13:00,1.65,13558.0
536631,22632,6,2010-12-02 10:58:00,1.85,17850.0
554097,21922,4,2011-05-22 13:01:00,7.95,12567.0
546638,22418,24,2011-03-15 12:52:00,0.85,15106.0
C539031,21452,-4,2010-12-15 14:25:00,2.95,12647.0
543292,21561,2,2011-02-07 11:15:00,2.55,14534.0
554261,21908,2,2011-05-23 12:32:00,2.1,16033.0
581334,21864,2,2011-12-08 12:07:00,2.1,17841.0
569238,21080,6,2011-10-02 15:52:00,0.85,17954.0
580107,22651,12,2011-12-01 15:32:00,0.85,15948.0
567462,23309,1,2011-09-20 12:35:00,0.55,14446.0
568471,21774,72,2011-09-27 11:49:00,0.42,17805.0
539628,84077,48,2010-12-20 14:49:00,0.29,18097.0
562432,22149,6,2011-08-04 17:38:00,2.1,14004.0
557854,22219,6,2011-06-23 11:38:00,0.85,13268.0
568321,21974,12,2011-09-26 13:36:00,1.45,13639.0
576876,23013,1,2011-11-16 16:42:00,3.95,16804.0
549451,22712,12,2011-04-08 14:14:00,0.42,16556.0
571033,22537,24,2011-10-13 12:46:00,0.42,14251.0
577337,22979,1,2011-11-18 14:51:00,1.45,15494.0
537209,85231G,1,2010-12-05 15:12:00,0.85,14606.0
536938,79321,72,2010-12-03 12:05:00,4.25,14680.0
572490,21154,4,2011-10-24 13:59:00,1.25,14467.0
539469,22710,25,2010-12-19 13:59:00,0.42,17841.0
578011,22489,24,2011-11-22 12:52:00,0.42,15150.0
560776,21901,24,2011-07-21 08:44:00,0.65,13995.0
545447,48187,4,2011-03-02 16:34:00,7.95,17426.0
560392,22355,10,2011-07-18 13:30:00,0.85,13911.0
571101,23542,2,2011-10-13 15:49:00,8.25,16570.0
548289,22487,2,2011-03-30 11:48:00,9.95,13988.0
555929,85123A,32,2011-06-08 08:12:00,2.55,16525.0
567290,22751,48,2011-09-19 11:54:00,3.39,14646.0
572563,23202,10,2011-10-25 09:31:00,2.08,12928.0
546218,22212,2,2011-03-10 12:11:00,2.1,14667.0
580515,22997,24,2011-12-04 14:09:00,0.42,17750.0
538638,84849B,1,2010-12-13 14:16:00,1.69,17231.0
578118,22561,24,2011-11-23 10:08:00,1.65,12955.0
556954,82551,12,2011-06-16 08:38:00,1.45,15585.0
572517,23291,1,2011-10-24 14:47:00,1.25,15068.0
538657,22049,25,2010-12-13 15:26:00,0.42,15867.0
539982,82600,3,2010-12-23 14:40:00,2.1,15311.0
C581178,23494,-1,2011-12-07 15:39:00,5.95,15525.0
577728,22909,1,2011-11-21 12:52:00,0.85,17811.0
566851,22800,1,2011-09-15 12:16:00,3.75,15573.0
579261,23583,10,2011-11-29 09:10:00,1.65,13429.0
573376,72800E,2,2011-10-30 13:50:00,2.55,13617.0
575725,21497,25,2011-11-10 18:46:00,0.42,13098.0
548289,22427,3,2011-03-30 11:48:00,5.95,13988.0
577598,21977,24,2011-11-21 08:19:00,0.55,13430.0
571033,22910,40,2011-10-13 12:46:00,2.55,14251.0
539353,85174,4,2010-12-17 11:30:00,4.95,12782.0
566314,23435,12,2011-09-12 09:57:00,2.08,15358.0
578041,22726,1,2011-11-22 14:23:00,3.75,17338.0
560828,84660C,60,2011-07-21 11:55:00,0.79,14298.0
563211,48111,2,2011-08-14 12:33:00,7.95,17049.0
577355,23271,16,2011-11-18 15:53:00,0.83,14911.0
554989,84875D,12,2011-05-29 13:50:00,1.25,15897.0
579147,23224,3,2011-11-28 13:20:00,0.83,13263.0
575219,22086,80,2011-11-09 11:17:00,2.55,17511.0
553922,22501,2,2011-05-20 09:24:00,9.95,17926.0
538744,21908,2,2010-12-14 11:26:00,2.1,15356.0
578544,23524,6,2011-11-24 15:01:00,3.75,17096.0
553403,22149,6,2011-05-17 08:18:00,2.1,18061.0
569246,20986,2,2011-10-03 09:57:00,2.46,14096.0
579166,23293,8,2011-11-28 14:02:00,0.83,14290.0
573323,22192,2,2011-10-30 10:54:00,8.5,15708.0
576056,84879,16,2011-11-13 15:04:00,1.69,17720.0
578935,23497,1,2011-11-27 12:52:00,1.45,15351.0
574716,21745,1,2011-11-06 14:33:00,3.75,14502.0
571712,22722,3,2011-10-18 16:46:00,3.95,14056.0
537137,35653,5,2010-12-05 12:43:00,2.95,16327.0
545690,22694,2,2011-03-06 12:46:00,2.1,13263.0
568174,23307,1,2011-09-25 13:23:00,0.55,16261.0
569012,21915,12,2011-09-30 08:18:00,1.25,15187.0
571692,23487,1,2011-10-18 14:34:00,9.95,13860.0
565151,23243,4,2011-09-01 14:29:00,4.95,16923.0
549832,22489,24,2011-04-12 13:10:00,0.42,17278.0
560571,22896,6,2011-07-19 14:29:00,2.55,17735.0
556290,22485,2,2011-06-10 09:23:00,12.75,17088.0
562688,23133,2,2011-08-08 13:53:00,8.25,13869.0
573406,22752,2,2011-10-30 15:57:00,8.5,14112.0
559981,23300,6,2011-07-14 11:30:00,1.65,14562.0
553556,85049G,2,2011-05-17 16:49:00,1.25,17530.0
579067,23242,6,2011-11-28 10:31:00,2.08,14470.0
562932,21219,2,2011-08-10 16:39:00,1.25,16904.0
545695,22722,8,2011-03-06 14:15:00,3.95,17050.0
C567767,85123A,-12,2011-09-22 10:58:00,2.95,17460.0
577545,22730,3,2011-11-20 14:43:00,3.75,16931.0
558881,84828,12,2011-07-04 14:36:00,1.25,12705.0
553922,47566,4,2011-05-20 09:24:00,4.95,17926.0
544913,22699,4,2011-02-24 15:26:00,2.95,15543.0
577046,22390,6,2011-11-17 13:46:00,2.55,12449.0
571671,23167,12,2011-10-18 13:15:00,0.83,16940.0
571058,22838,4,2011-10-13 14:18:00,14.95,13853.0
559015,21155,6,2011-07-05 12:53:00,2.55,13098.0
574097,23174,4,2011-11-03 09:56:00,4.15,12471.0
557116,23013,12,2011-06-16 16:57:00,3.45,15219.0
568594,23313,10,2011-09-28 10:56:00,4.95,13397.0
577527,22314,1,2011-11-20 13:40:00,2.95,17523.0
581003,21889,24,2011-12-07 08:38:00,1.25,14911.0
571548,35970,72,2011-10-18 07:56:00,1.49,15505.0
548714,21915,1,2011-04-03 15:07:00,1.25,17337.0
577109,79321,4,2011-11-17 17:50:00,5.75,16042.0
566601,21926,1,2011-09-13 15:57:00,1.25,16469.0
574864,23526,2,2011-11-07 12:29:00,5.95,14387.0
580137,82551,4,2011-12-01 19:54:00,1.45,17566.0
558881,20725,10,2011-07-04 14:36:00,1.65,12705.0
556829,21208,12,2011-06-15 10:51:00,0.39,12809.0
574306,22625,2,2011-11-03 16:37:00,8.5,17481.0
544153,22120,1,2011-02-16 12:11:00,9.95,15356.0
567202,23230,25,2011-09-19 10:36:00,0.42,13325.0
563845,21212,24,2011-08-19 14:39:00,0.55,12991.0
546253,22961,12,2011-03-10 14:44:00,1.45,16080.0
551855,85049D,1,2011-05-04 15:08:00,1.25,12836.0
549587,22913,3,2011-04-11 10:01:00,4.95,15737.0
559931,23040,3,2011-07-14 09:23:00,5.75,17738.0
544449,22722,2,2011-02-20 12:14:00,3.95,16115.0
549250,85144,1,2011-04-07 12:10:00,1.95,14446.0
544067,22907,8,2011-02-15 14:02:00,0.85,16431.0
561900,23242,3,2011-07-31 15:31:00,2.08,16655.0
554999,22794,1,2011-05-29 15:44:00,7.95,15547.0
558334,22544,24,2011-06-28 13:11:00,0.42,12599.0
566265,84946,24,2011-09-11 13:16:00,1.25,18255.0
580290,23264,1,2011-12-02 13:35:00,1.25,17221.0
560635,23212,12,2011-07-20 10:51:00,1.25,12521.0
544476,21212,2,2011-02-21 09:58:00,0.55,14796.0
542216,22715,12,2011-01-26 12:29:00,0.42,14911.0
547892,22191,2,2011-03-28 10:15:00,8.5,12669.0
561901,23131,240,2011-07-31 15:42:00,4.15,14156.0
544634,21830,24,2011-02-22 11:02:00,0.42,17994.0
541260,22078,1,2011-01-16 15:44:00,2.1,16059.0
557153,21716,32,2011-06-17 11:07:00,2.1,13735.0
576019,84406B,4,2011-11-13 14:31:00,4.15,12865.0
C569422,20979,-16,2011-10-04 10:38:00,1.25,12546.0
580355,47599B,12,2011-12-02 16:04:00,2.1,13953.0
575152,22546,3,2011-11-08 16:12:00,0.42,16284.0
561242,22629,12,2011-07-26 11:05:00,1.95,16258.0
579885,22988,12,2011-11-30 17:37:00,1.25,15444.0
572240,84946,12,2011-10-21 15:18:00,1.25,13709.0
549680,21829,36,2011-04-11 13:02:00,0.21,12701.0
537420,22333,8,2010-12-06 15:18:00,1.65,17519.0
581132,84879,8,2011-12-07 12:55:00,1.69,17590.0
544106,22189,6,2011-02-16 10:47:00,3.95,14530.0
545052,22150,6,2011-02-27 12:27:00,1.95,13971.0
539317,16161P,25,2010-12-16 19:04:00,0.42,17392.0
579288,90186B,1,2011-11-29 11:05:00,2.95,17772.0
537892,22326,6,2010-12-09 10:13:00,2.95,12481.0
578547,21883,12,2011-11-24 15:02:00,0.65,12720.0
556680,23298,6,2011-06-14 08:03:00,4.95,13971.0
580908,22367,1,2011-12-06 13:20:00,1.95,16495.0
571243,20963,10,2011-10-14 15:26:00,1.25,14595.0
558076,15056N,12,2011-06-24 17:35:00,5.95,14031.0
568531,23390,2,2011-09-27 13:49:00,4.15,16713.0
576627,21803,36,2011-11-16 08:25:00,0.42,14426.0
538011,21754,3,2010-12-09 12:24:00,5.95,14896.0
557065,23308,24,2011-06-16 15:08:00,0.55,17157.0
545797,82552,3,2011-03-07 12:17:00,1.45,16225.0
538638,22081,2,2010-12-13 14:16:00,1.65,17231.0
576694,21833,12,2011-11-16 12:25:00,1.69,14426.0
540531,21929,2,2011-01-09 14:03:00,1.95,16549.0
569246,22139,5,2011-10-03 09:57:00,10.79,14096.0
567288,21902,1,2011-09-19 11:49:00,0.65,16906.0
569336,22189,8,2011-10-03 14:05:00,3.95,15088.0
574936,20974,3,2011-11-07 17:06:00,0.65,13066.0
581445,21284,12,2011-12-08 17:12:00,0.39,17405.0
549300,22558,12,2011-04-08 08:21:00,1.65,13362.0
548404,20726,10,2011-03-31 09:38:00,1.65,16398.0
578836,21172,3,2011-11-25 15:47:00,1.45,13069.0
561796,22621,12,2011-07-29 13:34:00,1.65,13138.0
541518,21439,36,2011-01-19 09:05:00,1.25,12451.0
574289,23005,48,2011-11-03 15:16:00,0.42,17750.0
578922,22847,1,2011-11-27 12:00:00,16.95,17236.0
548404,48185,2,2011-03-31 09:38:00,7.95,16398.0
572035,21080,96,2011-10-20 12:03:00,0.72,14646.0
564433,22834,12,2011-08-25 11:46:00,2.1,16503.0
545991,72760B,1,2011-03-08 13:12:00,9.95,15311.0
567929,23271,32,2011-09-22 17:31:00,0.83,12425.0
C547889,20934,-1,2011-03-28 10:02:00,5.45,14410.0
551616,47599B,2,2011-05-03 11:40:00,2.1,15048.0
560105,23321,2,2011-07-14 19:23:00,1.65,16794.0
549789,20971,12,2011-04-12 12:00:00,1.25,17160.0
565916,22487,1,2011-09-07 16:00:00,9.95,14156.0
549579,21155,6,2011-04-11 09:18:00,2.55,15780.0
579549,23058,12,2011-11-30 10:45:00,0.79,13203.0
580611,23103,1,2011-12-05 11:49:00,1.65,12748.0
548468,21340,1,2011-03-31 12:28:00,12.75,14818.0
565460,21481,6,2011-09-05 09:24:00,2.95,16843.0
568069,22956,6,2011-09-23 14:05:00,2.1,13336.0
576538,72800B,4,2011-11-15 12:42:00,2.55,14725.0
577525,21034,1,2011-11-20 13:37:00,0.95,16905.0
544100,22645,4,2011-02-16 10:25:00,1.45,15002.0
569737,21755,3,2011-10-06 10:45:00,6.25,16295.0
556460,84978,12,2011-06-12 09:56:00,1.25,14276.0
563382,22423,1,2011-08-16 10:50:00,12.75,18221.0
548733,84912B,4,2011-04-04 10:29:00,3.75,17648.0
565865,22726,12,2011-09-07 15:07:00,3.75,12637.0
581501,23143,4,2011-12-09 10:46:00,3.95,12985.0
538863,48194,1,2010-12-14 14:15:00,7.95,16919.0
538858,21949,120,2010-12-14 13:58:00,1.06,16553.0
566976,23209,10,2011-09-16 09:27:00,1.65,15382.0
560250,84997D,2,2011-07-17 12:31:00,4.15,14659.0
576181,23320,5,2011-11-14 11:19:00,2.89,15572.0
571943,23294,12,2011-10-20 10:10:00,0.83,14638.0
548686,23158,12,2011-04-01 16:49:00,2.08,15856.0
546774,85187,2,2011-03-16 15:45:00,1.65,14505.0
536783,22585,72,2010-12-02 15:19:00,1.25,15061.0
553879,21535,6,2011-05-19 15:15:00,2.55,15791.0
566163,22726,12,2011-09-09 11:48:00,3.75,12637.0
551351,85129B,24,2011-04-28 10:20:00,1.06,14298.0
570225,23208,2,2011-10-09 13:15:00,1.65,16595.0
575852,22637,4,2011-11-11 12:17:00,2.55,17238.0
575219,22174,48,2011-11-09 11:17:00,1.48,17511.0
542369,22328,12,2011-01-27 13:08:00,2.95,12645.0
576070,23322,3,2011-11-13 15:58:00,2.95,13451.0
545036,22426,1,2011-02-25 17:25:00,3.75,14573.0
537376,22568,24,2010-12-06 12:59:00,3.39,16722.0
564724,22563,3,2011-08-28 12:16:00,1.25,15555.0
541680,21166,48,2011-01-20 14:18:00,1.69,14062.0
578519,22847,1,2011-11-24 13:56:00,16.95,14591.0
580632,22938,1,2011-12-05 12:16:00,1.95,16360.0
568701,23404,6,2011-09-28 15:07:00,4.95,13924.0
552532,84755,16,2011-05-10 09:39:00,0.65,15615.0
550784,21257,2,2011-04-20 13:59:00,7.95,13269.0
570218,22844,4,2011-10-09 12:20:00,8.5,16873.0
572834,21793,1,2011-10-26 11:46:00,3.95,12748.0
572499,23530,6,2011-10-24 14:10:00,4.95,15786.0
563353,84251B,12,2011-08-15 14:32:00,0.19,15480.0
558911,22726,12,2011-07-05 09:23:00,3.75,14189.0
554158,84508A,2,2011-05-23 11:44:00,2.55,15563.0
569652,22139,3,2011-10-05 12:51:00,4.95,15628.0
C566671,23091,-1,2011-09-14 11:39:00,6.25,17841.0
540122,22512,8,2011-01-05 10:39:00,1.25,13694.0
551170,22845,2,2011-04-26 16:40:00,6.35,15145.0
556917,22993,72,2011-06-15 13:37:00,1.06,12415.0
562085,23188,12,2011-08-02 12:27:00,1.65,15228.0
564752,22652,20,2011-08-30 10:07:00,1.65,16126.0
578707,20781,1,2011-11-25 11:20:00,5.49,17870.0
571183,85152,12,2011-10-14 11:08:00,2.1,14796.0
575607,22712,5,2011-11-10 12:37:00,0.83,14096.0
537126,22141,1,2010-12-05 12:13:00,2.1,18118.0
570887,22624,2,2011-10-13 10:25:00,8.5,17169.0
574832,22091,36,2011-11-07 11:29:00,0.39,17183.0
555383,22398,3,2011-06-02 15:13:00,1.25,12517.0
571283,22430,1,2011-10-16 13:51:00,4.95,16533.0
571006,23202,10,2011-10-13 12:06:00,2.08,17063.0
578781,21094,3,2011-11-25 11:54:00,0.85,15872.0
540550,21123,24,2011-01-10 09:11:00,1.25,12539.0
571502,85049E,12,2011-10-17 15:18:00,1.25,14422.0
564553,21845,6,2011-08-25 18:45:00,0.79,18200.0
550675,21535,6,2011-04-20 10:39:00,2.55,15260.0
566317,22429,4,2011-09-12 10:19:00,4.25,13375.0
553859,72349B,1,2011-05-19 13:35:00,2.1,14505.0
569546,72586,1,2011-10-04 16:39:00,0.42,15276.0
564573,22466,1,2011-08-26 11:19:00,1.95,14606.0
558763,22580,3,2011-07-03 13:08:00,5.95,12841.0
573122,22507,3,2011-10-27 16:23:00,4.95,14357.0
536534,22867,12,2010-12-01 13:33:00,2.1,15350.0
537065,20725,10,2010-12-05 11:57:00,1.65,12567.0
576176,23504,1,2011-11-14 11:04:00,1.25,16936.0
575384,23493,10,2011-11-09 15:17:00,1.95,17690.0
572066,20677,16,2011-10-20 13:07:00,1.25,15159.0
567980,22628,2,2011-09-23 11:22:00,4.95,15311.0
550784,22963,12,2011-04-20 13:59:00,0.85,13269.0
547114,23182,4,2011-03-21 11:49:00,0.83,14688.0
